match_id,date,home_team,away_team,home_goals,away_goals,status,round
1319473,2025-04-19T18:00:00-06:00,Municipal Liberia,San Carlos,0,1,FT,Clausura - 19
1319474,2025-04-20T11:00:00-06:00,CS Cartagines,AD Guanacasteca,3,0,FT,Clausura - 19
1319477,2025-04-20T16:00:00-06:00,CS Herediano,Santa Ana,2,1,FT,Clausura - 19
1319476,2025-04-20T18:00:00-06:00,Sporting San Jose,Perez Zeledon,0,0,FT,Clausura - 19
1319475,2025-04-21T20:00:00-06:00,LD Alajuelense,Deportivo Saprissa,1,1,FT,Clausura - 19
1319480,2025-04-25T20:00:00-06:00,Santa Ana,Santos DE Guapiles,3,3,FT,Clausura - 20
1319481,2025-04-26T16:00:00-06:00,San Carlos,CS Herediano,1,1,FT,Clausura - 20
1319483,2025-04-26T17:00:00-06:00,AD Guanacasteca,Sporting San Jose,0,3,FT,Clausura - 20
1319484,2025-04-26T20:00:00-06:00,Deportivo Saprissa,CS Cartagines,1,1,FT,Clausura - 20
1319479,2025-04-27T15:00:00-06:00,Perez Zeledon,Municipal Liberia,1,5,FT,Clausura - 20
1319482,2025-04-27T17:00:00-06:00,Puntarenas FC,LD Alajuelense,0,2,FT,Clausura - 20
1319490,2025-05-02T19:00:00-06:00,Sporting San Jose,San Carlos,1,0,FT,Clausura - 21
1319486,2025-05-03T16:00:00-06:00,Santos DE Guapiles,Perez Zeledon,3,1,FT,Clausura - 21
1319488,2025-05-03T17:00:00-06:00,Municipal Liberia,CS Cartagines,0,1,FT,Clausura - 21
1319485,2025-05-03T20:00:00-06:00,CS Herediano,Puntarenas FC,1,1,FT,Clausura - 21
1319487,2025-05-04T11:00:00-06:00,Santa Ana,LD Alajuelense,1,1,FT,Clausura - 21
1319489,2025-05-04T16:00:00-06:00,Deportivo Saprissa,AD Guanacasteca,3,0,FT,Clausura - 21
1319495,2025-05-06T18:00:00-06:00,San Carlos,Santos DE Guapiles,3,0,FT,Clausura - 22
1319493,2025-05-07T15:00:00-06:00,AD Guanacasteca,CS Herediano,0,3,FT,Clausura - 22
1319496,2025-05-07T20:00:00-06:00,Perez Zeledon,Deportivo Saprissa,0,3,FT,Clausura - 22
1319492,2025-05-07T20:00:00-06:00,CS Cartagines,Sporting San Jose,1,2,FT,Clausura - 22
1319491,2025-05-07T20:00:00-06:00,LD Alajuelense,Municipal Liberia,2,0,FT,Clausura - 22
1319494,2025-05-07T20:00:00-06:00,Puntarenas FC,Santa Ana,3,0,FT,Clausura - 22
1374863,2025-05-11T16:00:00-06:00,Deportivo Saprissa,CS Herediano,4,0,FT,Clausura - Semi-finals
1374865,2025-05-11T19:00:00-06:00,Puntarenas FC,LD Alajuelense,0,0,FT,Clausura - Semi-finals
1374866,2025-05-14T18:45:00-06:00,LD Alajuelense,Puntarenas FC,1,0,AET,Clausura - Semi-finals
1374864,2025-05-14T20:45:00-06:00,CS Herediano,Deportivo Saprissa,2,0,FT,Clausura - Semi-finals
1375651,2025-05-18T15:00:00-06:00,Deportivo Saprissa,LD Alajuelense,3,3,FT,Clausura - Finals
1375652,2025-05-21T20:00:00-06:00,LD Alajuelense,Deportivo Saprissa,1,0,FT,Clausura - Finals
1376143,2025-05-25T17:00:00-06:00,LD Alajuelense,CS Herediano,0,0,FT,Clausura - Gran Final
1376144,2025-05-28T20:00:00-06:00,CS Herediano,LD Alajuelense,1,0,FT,Clausura - Gran Final
